Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2207.82it/s]
K2MXI1_TRYCR: Predicted ERROR, probability : 0.8525
H3D688_TETNG: Predicted CORRECT, probability : 0.2150
F6UBH2_MONDO: Predicted CORRECT, probability : 0.4582
A0A044RIU7_ONCVO: Predicted CORRECT, probability : 0.1593
J0XJ04_LOALO: Predicted ERROR, probability : 0.6832
BBS7_MOUSE: Predicted CORRECT, probability : 0.1638
I3MYC6_ICTTR: Predicted CORRECT, probability : 0.2040
F6YN29_MONDO: Predicted CORRECT, probability : 0.1953
A0A067C533_SAPPC: Predicted CORRECT, probability : 0.3177
A0A087YB91_POEFO: Predicted ERROR, probability : 0.6359
A0A096MNW8_PAPAN: Predicted ERROR, probability : 0.5187
G3RQW7_GORGO: Predicted CORRECT, probability : 0.4208
S9WLZ2_9TRYP: Predicted ERROR, probability : 0.6976
K3X2Y2_PYTUL: Predicted ERROR, probability : 0.8154
A0A0N0BHK0_9HYME: Predicted CORRECT, probability : 0.2340
B4JDP6_DROGR: Predicted ERROR, probability : 0.5062
E1G276_LOALO: Predicted CORRECT, probability : 0.2203
A0A0N1PFT7_LEPSE: Predicted CORRECT, probability : 0.3048
F6UU75_XENTR: Predicted CORRECT, probability : 0.3344
A0A067RJQ2_ZOONE: Predicted ERROR, probability : 0.6323
E1BNU6_BOVIN: Predicted CORRECT, probability : 0.3168
A0A0D2L0B8_9CHLO: Predicted CORRECT, probability : 0.3905
A0A024G196_9STRA: Predicted CORRECT, probability : 0.3918
H9GC07_ANOCA: Predicted CORRECT, probability : 0.1980
H0XKK6_OTOGA: Predicted CORRECT, probability : 0.2212
G1QEW9_MYOLU: Predicted CORRECT, probability : 0.3025
A0A0Q3UR11_AMAAE: Predicted ERROR, probability : 0.9921
A0A151MH34_ALLMI: Predicted CORRECT, probability : 0.3532
L7N1T4_MYOLU: Predicted CORRECT, probability : 0.3957
K1QYL7_CRAGI: Predicted ERROR, probability : 0.7322
A0A091DBB5_FUKDA: Predicted CORRECT, probability : 0.3102
W6NHN2_HAECO: Predicted CORRECT, probability : 0.2439
B4F765_RAT: Predicted CORRECT, probability : 0.4546
B3M393_DROAN: Predicted ERROR, probability : 0.7858
F9WHK7_TRYCI: Predicted ERROR, probability : 0.6124
A0A0M0K752_9EUKA: Predicted ERROR, probability : 0.7166
A0A0L0HCR5_SPIPN: Predicted ERROR, probability : 0.5953
W2Z9A3_PHYPR: Predicted ERROR, probability : 0.8132
A0A0N1ICY5_PAPMA: Predicted CORRECT, probability : 0.4469
G5AEA7_PHYSP: Predicted ERROR, probability : 0.6067
H2Q8R7_PANTR: Predicted ERROR, probability : 0.8451
MKKS_PONAB: Predicted CORRECT, probability : 0.2409
A4I4C4_LEIIN: Predicted ERROR, probability : 0.5018
A0A194QWL4_PAPMA: Predicted ERROR, probability : 0.8288
D2A192_TRICA: Predicted CORRECT, probability : 0.1490
C3YBX4_BRAFL: Predicted ERROR, probability : 0.5306
A0A0N1PGX0_PAPXU: Predicted ERROR, probability : 0.9101
B3MBX5_DROAN: Predicted CORRECT, probability : 0.4988
H3B555_LATCH: Predicted CORRECT, probability : 0.1871
M3ZXJ0_XIPMA: Predicted ERROR, probability : 0.8094
W2Q1R0_PHYPN: Predicted ERROR, probability : 0.7342
H2PS04_PONAB: Predicted CORRECT, probability : 0.4841
BBS1_HUMAN: Predicted CORRECT, probability : 0.2803
G1P0F6_MYOLU: Predicted CORRECT, probability : 0.4545
G3QRU9_GORGO: Predicted ERROR, probability : 0.9979
BBS4_CAEEL: Predicted CORRECT, probability : 0.4186
E1B8R8_BOVIN: Predicted ERROR, probability : 0.5586
A0A0G4EJP9_VITBC: Predicted ERROR, probability : 0.5066
A0A0S4KJV3_BODSA: Predicted CORRECT, probability : 0.3978
A2F554_TRIVA: Predicted ERROR, probability : 0.7837
A0A0N4V4I0_ENTVE: Predicted ERROR, probability : 0.9992
A0A0N5CYY5_THECL: Predicted ERROR, probability : 0.7997
B1H1F4_XENTR: Predicted CORRECT, probability : 0.4886
W2Z3I6_PHYPR: Predicted CORRECT, probability : 0.3635
H2Y718_CIOSA: Predicted CORRECT, probability : 0.3964
I3LJG1_PIG: Predicted CORRECT, probability : 0.1656
A0A0D9RMF9_CHLSB: Predicted CORRECT, probability : 0.2897
A0A0K0DXQ1_STRER: Predicted ERROR, probability : 0.8286
F6SCB7_MACMU: Predicted CORRECT, probability : 0.1432
D2I2K1_AILME: Predicted CORRECT, probability : 0.2874
F7HEV6_CALJA: Predicted CORRECT, probability : 0.2729
LZTL1_BOVIN: Predicted ERROR, probability : 0.5391
G1M0S6_AILME: Predicted ERROR, probability : 0.8967
U1MA65_ASCSU: Predicted ERROR, probability : 0.9784
H2N0J6_ORYLA: Predicted CORRECT, probability : 0.2764
A0A154P3J0_9HYME: Predicted ERROR, probability : 0.9348
F6QE09_CIOIN: Predicted ERROR, probability : 0.9336
V4BYG1_LOTGI: Predicted ERROR, probability : 0.8510
G1MMT5_AILME: Predicted CORRECT, probability : 0.4214
W6KEZ5_9TRYP: Predicted ERROR, probability : 0.5463
A0A024TEN6_9STRA: Predicted CORRECT, probability : 0.3948
A4HSR6_LEIIN: Predicted ERROR, probability : 0.5059
J9K6V4_ACYPI: Predicted ERROR, probability : 0.6975
A0A061IYK7_TRYRA: Predicted ERROR, probability : 0.7344
A0A0N0PDI5_PAPMA: Predicted ERROR, probability : 0.9409
E4XDA1_OIKDI: Predicted CORRECT, probability : 0.2987
A0A096NMN0_PAPAN: Predicted CORRECT, probability : 0.1524
G4YJY9_PHYSP: Predicted CORRECT, probability : 0.3905
G6DR77_DANPL: Predicted ERROR, probability : 0.7629
E2A774_CAMFO: Predicted CORRECT, probability : 0.3579
C3ZRU4_BRAFL: Predicted CORRECT, probability : 0.3633
A0A0M8ZXL4_9HYME: Predicted CORRECT, probability : 0.1390
E2AXP2_CAMFO: Predicted ERROR, probability : 0.6889
A0A0D9R018_CHLSB: Predicted CORRECT, probability : 0.2562
W6KEL0_9TRYP: Predicted CORRECT, probability : 0.4946
K7JKG6_NASVI: Predicted ERROR, probability : 0.9813
A0A077YX28_TRITR: Predicted ERROR, probability : 1.0000
S9WN89_9TRYP: Predicted CORRECT, probability : 0.4475
F7DHC4_MACMU: Predicted ERROR, probability : 0.6995
A0A0N4ZHJ9_PARTI: Predicted CORRECT, probability : 0.1444
G7PC93_MACFA: Predicted ERROR, probability : 0.6083
U6LV11_9EIME: Predicted CORRECT, probability : 0.4338
B3RWQ3_TRIAD: Predicted CORRECT, probability : 0.1182
G3W6A7_SARHA: Predicted ERROR, probability : 0.5717
I3MEL8_ICTTR: Predicted CORRECT, probability : 0.2704
H9GPW5_ANOCA: Predicted CORRECT, probability : 0.3967
D8UCI1_VOLCA: Predicted CORRECT, probability : 0.3364
A0A091DXT3_FUKDA: Predicted ERROR, probability : 0.5691
T1IEA4_RHOPR: Predicted ERROR, probability : 0.9919
M3ZLB9_XIPMA: Predicted CORRECT, probability : 0.2141
SDCG8_HUMAN: Predicted CORRECT, probability : 0.3312
A0A0G4ENF0_VITBC: Predicted ERROR, probability : 0.5605
A0A0N4YEM3_NIPBR: Predicted ERROR, probability : 0.6429
V9F4S6_PHYPR: Predicted ERROR, probability : 0.7981
A4I446_LEIIN: Predicted CORRECT, probability : 0.4687
G3SRN0_LOXAF: Predicted CORRECT, probability : 0.4920
A4HTV8_LEIIN: Predicted ERROR, probability : 0.5281
L5LEJ0_MYODS: Predicted ERROR, probability : 0.6596
G7PUF5_MACFA: Predicted CORRECT, probability : 0.2672
C1N7C5_MICPC: Predicted ERROR, probability : 0.5932
B3MUA1_DROAN: Predicted CORRECT, probability : 0.4708
E3M4Z1_CAERE: Predicted CORRECT, probability : 0.4576
A0A024TBC5_9STRA: Predicted CORRECT, probability : 0.4571
A0A0K0E476_STRER: Predicted ERROR, probability : 0.6617
W6LH84_9TRYP: Predicted CORRECT, probability : 0.2195
B7YZM8_DROME: Predicted CORRECT, probability : 0.4288
M3WWM1_FELCA: Predicted CORRECT, probability : 0.1545
A0A0B2W306_TOXCA: Predicted CORRECT, probability : 0.3411
E1BUV9_CHICK: Predicted CORRECT, probability : 0.0822
A0A091D3M3_FUKDA: Predicted CORRECT, probability : 0.2258
BBS10_MOUSE: Predicted CORRECT, probability : 0.2224
F1NGP3_CHICK: Predicted ERROR, probability : 0.5810
H2MAJ8_ORYLA: Predicted ERROR, probability : 0.5572
G4LW93_SCHMA: Predicted ERROR, probability : 0.9997
B3RPI2_TRIAD: Predicted CORRECT, probability : 0.4943
A0A0N5CEF1_STREA: Predicted CORRECT, probability : 0.1558
B3RQQ8_TRIAD: Predicted ERROR, probability : 0.5444
G1KMJ2_ANOCA: Predicted CORRECT, probability : 0.1390
G7PB52_MACFA: Predicted ERROR, probability : 0.8601
Q4D0P3_TRYCC: Predicted CORRECT, probability : 0.4011
A0A0B2UR27_TOXCA: Predicted CORRECT, probability : 0.4489
M3YWA6_MUSPF: Predicted CORRECT, probability : 0.3237
A7RHF6_NEMVE: Predicted ERROR, probability : 0.7863
R1E0V9_EMIHU: Predicted ERROR, probability : 0.6366
A0A090LBV3_STRRB: Predicted CORRECT, probability : 0.0942
A0A0W8C8Z9_PHYNI: Predicted CORRECT, probability : 0.1877
A0A183AMH9_9TREM: Predicted ERROR, probability : 0.9148
I3KHB5_ORENI: Predicted ERROR, probability : 0.8157
H0UV24_CAVPO: Predicted CORRECT, probability : 0.0984
F2TWH2_SALR5: Predicted CORRECT, probability : 0.4758
J9JLI4_ACYPI: Predicted ERROR, probability : 0.8832
F7AHJ9_HORSE: Predicted CORRECT, probability : 0.3246
PTHB1_HUMAN: Predicted CORRECT, probability : 0.1275
A0A061IRX7_TRYRA: Predicted ERROR, probability : 0.6612
A0A074YYQ2_9TREM: Predicted ERROR, probability : 0.9617
A0A090LHJ8_STRRB: Predicted ERROR, probability : 0.8156
V6U1A3_GIAIN: Predicted ERROR, probability : 0.9782
H2NCR2_PONAB: Predicted CORRECT, probability : 0.2774
H2Y3Y0_CIOSA: Predicted CORRECT, probability : 0.2086
U1NTI9_ASCSU: Predicted CORRECT, probability : 0.1791
G3QYJ9_GORGO: Predicted CORRECT, probability : 0.1305
A0A0Q3US33_AMAAE: Predicted ERROR, probability : 0.9351
K7FBG2_PELSI: Predicted ERROR, probability : 0.6728
ARL6_BOVIN: Predicted CORRECT, probability : 0.1780
A0A0M0J4S8_9EUKA: Predicted CORRECT, probability : 0.4441
K2MSG2_TRYCR: Predicted CORRECT, probability : 0.3328
C1EAS0_MICCC: Predicted ERROR, probability : 0.6198
A0A095CDS9_SCHHA: Predicted CORRECT, probability : 0.3090
Q382T6_TRYB2: Predicted ERROR, probability : 0.7645
W4XP81_STRPU: Predicted CORRECT, probability : 0.2870
W5NG86_LEPOC: Predicted CORRECT, probability : 0.3291
M3ZSV8_XIPMA: Predicted ERROR, probability : 0.5074
W5PZP5_SHEEP: Predicted CORRECT, probability : 0.3120
W5QFP5_SHEEP: Predicted ERROR, probability : 0.6245
A0A0N5BC03_STREA: Predicted CORRECT, probability : 0.2841
A0A0L7R1U8_9HYME: Predicted ERROR, probability : 0.9908
M4AGM2_XIPMA: Predicted ERROR, probability : 0.9657
A7S5W5_NEMVE: Predicted CORRECT, probability : 0.2928
H2MPC6_ORYLA: Predicted ERROR, probability : 0.9536
I3M6W3_ICTTR: Predicted CORRECT, probability : 0.1150
V9F0Z3_PHYPR: Predicted CORRECT, probability : 0.2051
A0A024TXS0_9STRA: Predicted ERROR, probability : 0.5137
H0WSU0_OTOGA: Predicted CORRECT, probability : 0.4918
I3J4U2_ORENI: Predicted CORRECT, probability : 0.3280
B5DXM6_DROPS: Predicted ERROR, probability : 0.7763
A0A158NSS3_ATTCE: Predicted ERROR, probability : 0.8003
A7RRC2_NEMVE: Predicted CORRECT, probability : 0.3341
IFT27_BOVIN: Predicted CORRECT, probability : 0.4563
A0A0N4XYR8_NIPBR: Predicted CORRECT, probability : 0.2446
F7CDR8_HORSE: Predicted ERROR, probability : 0.7017
K7IUT2_NASVI: Predicted ERROR, probability : 0.9358
A0A0R3RQA9_9BILA: Predicted CORRECT, probability : 0.2936
D7FJQ1_ECTSI: Predicted ERROR, probability : 0.7126
A0A0N5AB23_9BILA: Predicted ERROR, probability : 0.9497
FRITZ_RAT: Predicted ERROR, probability : 0.7863
BBS4_BOVIN: Predicted CORRECT, probability : 0.2989
A0A0K0EJU4_STRER: Predicted CORRECT, probability : 0.1532
A0A0G4IR91_PLABS: Predicted ERROR, probability : 0.7706
G1M4X8_AILME: Predicted CORRECT, probability : 0.2316
A0A0N1IKM3_LEPSE: Predicted ERROR, probability : 0.5587
A0A0N8JZ60_9TELE: Predicted ERROR, probability : 0.9999
A0A0R3RI75_9BILA: Predicted CORRECT, probability : 0.4883
A0A0D9S9I9_CHLSB: Predicted CORRECT, probability : 0.4078
C3ZKQ7_BRAFL: Predicted ERROR, probability : 0.7141
Q28WS1_DROPS: Predicted ERROR, probability : 0.5419
M7BMW2_CHEMY: Predicted CORRECT, probability : 0.2280
F7F169_ORNAN: Predicted ERROR, probability : 0.5893
A0A151P8X8_ALLMI: Predicted CORRECT, probability : 0.4282
A0A0L7QZZ5_9HYME: Predicted ERROR, probability : 0.6718
C1MWZ6_MICPC: Predicted ERROR, probability : 0.5776
C3ZGA8_BRAFL: Predicted ERROR, probability : 0.5983
A0A0P7VQX3_9TELE: Predicted CORRECT, probability : 0.2395
A0A0W8CGX9_PHYNI: Predicted ERROR, probability : 0.7117
F6WZU0_MACMU: Predicted CORRECT, probability : 0.1412
I1FTE1_AMPQE: Predicted CORRECT, probability : 0.3072
H2ZVG5_LATCH: Predicted CORRECT, probability : 0.2505
G1KY06_ANOCA: Predicted CORRECT, probability : 0.2369
A0A0D8XYE9_DICVI: Predicted ERROR, probability : 0.9143
S9VEE0_9TRYP: Predicted ERROR, probability : 0.5503
I3JQB2_ORENI: Predicted CORRECT, probability : 0.4878
A0A0D9RQB1_CHLSB: Predicted CORRECT, probability : 0.4951
K7F055_PELSI: Predicted CORRECT, probability : 0.3610
G3WMP3_SARHA: Predicted ERROR, probability : 0.5121
V4AJL1_LOTGI: Predicted CORRECT, probability : 0.1580
A4H5M0_LEIBR: Predicted ERROR, probability : 0.5884
Q4CYP7_TRYCC: Predicted ERROR, probability : 0.9069
H9J289_BOMMO: Predicted ERROR, probability : 0.9413
K1PBA9_CRAGI: Predicted CORRECT, probability : 0.1647
Q17LJ5_AEDAE: Predicted CORRECT, probability : 0.4175
Q4D092_TRYCC: Predicted ERROR, probability : 0.7488
A0A0K0JLB3_BRUMA: Predicted ERROR, probability : 0.6747
L5KX83_PTEAL: Predicted ERROR, probability : 0.9632
E1BTY2_CHICK: Predicted CORRECT, probability : 0.2237
L1JP33_GUITH: Predicted ERROR, probability : 0.7433
G3VZE5_SARHA: Predicted CORRECT, probability : 0.0552
T0R219_9STRA: Predicted CORRECT, probability : 0.4494
Q3V3N7_MOUSE: Predicted CORRECT, probability : 0.3234
H0WTY6_OTOGA: Predicted CORRECT, probability : 0.4575
W6KHM9_9TRYP: Predicted ERROR, probability : 0.6262
A0A0N4Z6G3_PARTI: Predicted CORRECT, probability : 0.3371
H2QMZ4_PANTR: Predicted CORRECT, probability : 0.1562
G3N2W1_BOVIN: Predicted ERROR, probability : 0.8700
W2R2K8_PHYPN: Predicted ERROR, probability : 0.9595
C1EFH9_MICCC: Predicted CORRECT, probability : 0.3787
A0A183APT8_9TREM: Predicted CORRECT, probability : 0.0709
A0A0N5CI00_STREA: Predicted ERROR, probability : 0.8845
A0A067C4C7_SAPPC: Predicted CORRECT, probability : 0.4214
M3XJC5_LATCH: Predicted ERROR, probability : 0.5200
Q23E95_TETTS: Predicted ERROR, probability : 0.9500
G3PWE1_GASAC: Predicted ERROR, probability : 0.6172
A0A0N5CLZ3_THECL: Predicted ERROR, probability : 0.5081
A0A087YK02_POEFO: Predicted CORRECT, probability : 0.1826
M3ZW06_XIPMA: Predicted CORRECT, probability : 0.2826
A0A0R3S284_9BILA: Predicted CORRECT, probability : 0.4274
A0A096NII1_PAPAN: Predicted CORRECT, probability : 0.1522
Q4GYG4_TRYB2: Predicted ERROR, probability : 0.6312
K1PS22_CRAGI: Predicted CORRECT, probability : 0.4443
ARL6_HUMAN: Predicted CORRECT, probability : 0.1562
I3JVB4_ORENI: Predicted CORRECT, probability : 0.2717
A0A158NPL4_ATTCE: Predicted ERROR, probability : 0.6623
C1E555_MICCC: Predicted CORRECT, probability : 0.4238
H2PE85_PONAB: Predicted CORRECT, probability : 0.1517
A0A0L7KYG6_9NEOP: Predicted CORRECT, probability : 0.1690
H2RKI2_TAKRU: Predicted CORRECT, probability : 0.1338
B3DFT2_DANRE: Predicted CORRECT, probability : 0.2459
F7E5E6_ORNAN: Predicted CORRECT, probability : 0.4626
A0A0N4VCC7_ENTVE: Predicted ERROR, probability : 0.7426
B4QB28_DROSI: Predicted ERROR, probability : 0.5379
F1Q6W8_DANRE: Predicted CORRECT, probability : 0.2282
W5LDX9_ASTMX: Predicted CORRECT, probability : 0.3975
M3XU97_MUSPF: Predicted CORRECT, probability : 0.2277
C1MJ52_MICPC: Predicted ERROR, probability : 0.7861
A0A091DIV9_FUKDA: Predicted ERROR, probability : 0.6163
A0A194PI11_PAPXU: Predicted CORRECT, probability : 0.4492
G1QNA6_NOMLE: Predicted CORRECT, probability : 0.1562
B4J7X0_DROGR: Predicted ERROR, probability : 0.5454
Q5PR92_DANRE: Predicted CORRECT, probability : 0.4482
F1L151_ASCSU: Predicted ERROR, probability : 0.8289
I3KCZ4_ORENI: Predicted CORRECT, probability : 0.3197
M3YV76_MUSPF: Predicted CORRECT, probability : 0.2814
SDCG8_MOUSE: Predicted CORRECT, probability : 0.3020
V9G0L5_PHYPR: Predicted ERROR, probability : 0.5130
A2FLN7_TRIVA: Predicted ERROR, probability : 0.6631
A0A091CMT7_FUKDA: Predicted CORRECT, probability : 0.2091
A0A0W8B5F2_PHYNI: Predicted CORRECT, probability : 0.4133
D4A8B1_RAT: Predicted CORRECT, probability : 0.1536
A0A0F8AYR5_LARCR: Predicted CORRECT, probability : 0.4326
F7B395_MACMU: Predicted CORRECT, probability : 0.4268
A0A0R4IL45_DANRE: Predicted CORRECT, probability : 0.4014
M3YBL1_MUSPF: Predicted ERROR, probability : 0.5444
V3ZX09_LOTGI: Predicted CORRECT, probability : 0.1535
A0A0N5DZF4_TRIMR: Predicted ERROR, probability : 0.9513
G1S546_NOMLE: Predicted CORRECT, probability : 0.4972
E7F9Q9_DANRE: Predicted ERROR, probability : 0.7584
A0A087YN04_POEFO: Predicted ERROR, probability : 0.5174
A0A067CA50_SAPPC: Predicted CORRECT, probability : 0.4404
D8TSL5_VOLCA: Predicted ERROR, probability : 0.5294
A0A044S195_ONCVO: Predicted ERROR, probability : 0.5677
I3KYV4_ORENI: Predicted ERROR, probability : 0.5030
A0A067RIH6_ZOONE: Predicted CORRECT, probability : 0.1802
A0A0M0K917_9EUKA: Predicted CORRECT, probability : 0.2152
F6Y677_CIOIN: Predicted ERROR, probability : 0.9641
H2QQ46_PANTR: Predicted CORRECT, probability : 0.2107
W5P7J1_SHEEP: Predicted CORRECT, probability : 0.2724
Q4R679_MACFA: Predicted CORRECT, probability : 0.4834
A0A078A2X5_STYLE: Predicted ERROR, probability : 0.9155
B3MZ02_DROAN: Predicted CORRECT, probability : 0.4954
H0VLD9_CAVPO: Predicted ERROR, probability : 0.5482
I3JUU0_ORENI: Predicted CORRECT, probability : 0.3203
LZTL1_PONAB: Predicted CORRECT, probability : 0.4500
Q4QJ54_LEIMA: Predicted ERROR, probability : 0.5443
W4GJ30_9STRA: Predicted CORRECT, probability : 0.4502
D0NEL4_PHYIT: Predicted CORRECT, probability : 0.2173
E1FP53_LOALO: Predicted CORRECT, probability : 0.4411
V5BKF4_TRYCR: Predicted CORRECT, probability : 0.3896
E2RIJ8_CANLF: Predicted CORRECT, probability : 0.3045
BBS4_HUMAN: Predicted CORRECT, probability : 0.1551
W4YNQ9_STRPU: Predicted CORRECT, probability : 0.2679
A0A0M9G5S3_9TRYP: Predicted ERROR, probability : 0.5245
F6Q1R3_CALJA: Predicted CORRECT, probability : 0.1601
A0A0R4IUZ0_DANRE: Predicted ERROR, probability : 0.5040
D2UXT8_NAEGR: Predicted ERROR, probability : 0.6996
E1G441_LOALO: Predicted CORRECT, probability : 0.4025
A0A0K0F582_9BILA: Predicted CORRECT, probability : 0.1141
A0A059EQ31_9MICR: Predicted ERROR, probability : 0.9502
W5LLH1_ASTMX: Predicted ERROR, probability : 0.8903
W4G1M5_9STRA: Predicted ERROR, probability : 0.5676
A7RIW9_NEMVE: Predicted ERROR, probability : 0.7338
CH037_HUMAN: Predicted ERROR, probability : 0.5490
W2Q3L9_PHYPN: Predicted ERROR, probability : 0.6045
A0A026WMN6_CERBI: Predicted CORRECT, probability : 0.1769
A0A044TK70_ONCVO: Predicted CORRECT, probability : 0.2690
A0A0V0R4D7_PSEPJ: Predicted ERROR, probability : 0.9858
G1PDK6_MYOLU: Predicted CORRECT, probability : 0.2822
F4WE11_ACREC: Predicted ERROR, probability : 0.9919
C1FHI3_MICCC: Predicted ERROR, probability : 0.5280
I3MFB6_ICTTR: Predicted ERROR, probability : 0.5808
L9KIV0_TUPCH: Predicted CORRECT, probability : 0.2566
F7I0U0_CALJA: Predicted CORRECT, probability : 0.3231
W5PIK1_SHEEP: Predicted ERROR, probability : 0.5187
E2A4F9_CAMFO: Predicted CORRECT, probability : 0.4822
W2QE22_PHYPN: Predicted CORRECT, probability : 0.3614
M3WSX8_FELCA: Predicted CORRECT, probability : 0.3125
E3LMW1_CAERE: Predicted ERROR, probability : 0.7260
W2PT12_PHYPN: Predicted CORRECT, probability : 0.3607
A4IIF7_XENTR: Predicted CORRECT, probability : 0.3652
W4Z3R7_STRPU: Predicted ERROR, probability : 0.6933
A0A091E1P0_FUKDA: Predicted ERROR, probability : 0.5459
Q9VF13_DROME: Predicted ERROR, probability : 0.8362
F7EKI0_XENTR: Predicted CORRECT, probability : 0.2634
W5MZI7_LEPOC: Predicted CORRECT, probability : 0.4596
G4Z0F4_PHYSP: Predicted CORRECT, probability : 0.4892
K7FSV7_PELSI: Predicted ERROR, probability : 0.9208
F7IDY9_CALJA: Predicted CORRECT, probability : 0.2545
A0A074Z9J3_9TREM: Predicted ERROR, probability : 0.9764
A0A0L0C437_LUCCU: Predicted CORRECT, probability : 0.4466
A0A0N4U336_DRAME: Predicted ERROR, probability : 0.9296
H2QJY8_PANTR: Predicted CORRECT, probability : 0.1966
W5MN19_LEPOC: Predicted ERROR, probability : 0.5203
B4QG25_DROSI: Predicted CORRECT, probability : 0.4029
F2USB8_SALR5: Predicted CORRECT, probability : 0.3992
M3Y3G7_MUSPF: Predicted ERROR, probability : 0.5112
W2QWY8_PHYPN: Predicted ERROR, probability : 0.6610
E2RQA6_CANLF: Predicted CORRECT, probability : 0.1619
G1PE46_MYOLU: Predicted CORRECT, probability : 0.2602
A0A0G4ILU8_PLABS: Predicted ERROR, probability : 0.6878
G1TL09_RABIT: Predicted CORRECT, probability : 0.4495
K3WFZ0_PYTUL: Predicted ERROR, probability : 0.9114
A0A194QMZ5_PAPXU: Predicted ERROR, probability : 0.6586
A8HWI3_CHLRE: Predicted ERROR, probability : 0.5604
C1E9Y7_MICCC: Predicted ERROR, probability : 0.5794
W3A5U6_PHYPR: Predicted ERROR, probability : 0.5130
H0VBK0_CAVPO: Predicted ERROR, probability : 0.9439
E2R962_CANLF: Predicted CORRECT, probability : 0.2476
M3ZTR9_XIPMA: Predicted ERROR, probability : 0.5197
H0UUH7_CAVPO: Predicted CORRECT, probability : 0.4897
W5NZH1_SHEEP: Predicted ERROR, probability : 0.8475
A0A074ZF09_9TREM: Predicted CORRECT, probability : 0.2234
E1GAU0_LOALO: Predicted CORRECT, probability : 0.4507
A0A194PQ41_PAPXU: Predicted ERROR, probability : 0.8849
G1LVU0_AILME: Predicted CORRECT, probability : 0.4243
B4KME7_DROMO: Predicted CORRECT, probability : 0.1109
V4ARC4_LOTGI: Predicted ERROR, probability : 0.7931
F7HDG7_MACMU: Predicted CORRECT, probability : 0.1487
W5N3D2_LEPOC: Predicted ERROR, probability : 0.6986
K2N5E1_TRYCR: Predicted CORRECT, probability : 0.2230
MKS1_HUMAN: Predicted CORRECT, probability : 0.2621
E2RRS0_CANLF: Predicted CORRECT, probability : 0.1656
G1QNZ0_NOMLE: Predicted CORRECT, probability : 0.1473
W4XAU7_STRPU: Predicted CORRECT, probability : 0.2549
G4YVH6_PHYSP: Predicted CORRECT, probability : 0.4758
C1DZ01_MICCC: Predicted ERROR, probability : 0.9966
A0A0M9A640_9HYME: Predicted CORRECT, probability : 0.4545
A0A044R639_ONCVO: Predicted CORRECT, probability : 0.3037
A0A0K0DSM7_STRER: Predicted ERROR, probability : 0.5284
M4AFV4_XIPMA: Predicted CORRECT, probability : 0.1641
M3YMG3_MUSPF: Predicted CORRECT, probability : 0.4392
V8PB15_OPHHA: Predicted CORRECT, probability : 0.3360
A8JF99_CHLRE: Predicted CORRECT, probability : 0.3396
K2MWH7_TRYCR: Predicted ERROR, probability : 0.7413
B0X8D9_CULQU: Predicted ERROR, probability : 0.8153
E9H9T3_DAPPU: Predicted ERROR, probability : 0.7240
F1MB52_BOVIN: Predicted CORRECT, probability : 0.2594
BBS2_RAT: Predicted CORRECT, probability : 0.1746
Q3SCX0_PARTE: Predicted ERROR, probability : 0.9658
A0A096NEP7_PAPAN: Predicted ERROR, probability : 0.6083
A0A0G4ELX0_VITBC: Predicted CORRECT, probability : 0.4682
H0XEP4_OTOGA: Predicted CORRECT, probability : 0.1317
F7DYZ0_HORSE: Predicted CORRECT, probability : 0.2352
A0A0N1I805_LEPSE: Predicted ERROR, probability : 0.7939
H2M9T7_ORYLA: Predicted CORRECT, probability : 0.3457
W5JSM4_ANODA: Predicted ERROR, probability : 0.8968
F1SNZ1_PIG: Predicted ERROR, probability : 0.5098
A0A0D9R7I6_CHLSB: Predicted CORRECT, probability : 0.2823
F6WSP0_XENTR: Predicted CORRECT, probability : 0.1946
A0A0N5B9H9_STREA: Predicted CORRECT, probability : 0.2933
Q7PW09_ANOGA: Predicted ERROR, probability : 0.8791
H0XPD1_OTOGA: Predicted CORRECT, probability : 0.3299
J3QMK2_MOUSE: Predicted ERROR, probability : 0.7572
A0A0R3SFA3_HYMDI: Predicted ERROR, probability : 0.8976
B4IZI2_DROGR: Predicted CORRECT, probability : 0.4740
A0A096NZB9_PAPAN: Predicted CORRECT, probability : 0.4268
M3W6A3_FELCA: Predicted ERROR, probability : 0.5510
M3ZWS4_XIPMA: Predicted ERROR, probability : 0.5046
Q22CC3_TETTS: Predicted CORRECT, probability : 0.4935
A0A0M9G8H0_9TRYP: Predicted CORRECT, probability : 0.3927
A0A0N5DHP0_TRIMR: Predicted CORRECT, probability : 0.2384
H2TTM2_TAKRU: Predicted ERROR, probability : 0.6547
M4AXH3_XIPMA: Predicted CORRECT, probability : 0.1757
F1PG88_CANLF: Predicted ERROR, probability : 0.6616
BBS12_HUMAN: Predicted CORRECT, probability : 0.2163
G3WF86_SARHA: Predicted ERROR, probability : 0.9907
K1PFG3_CRAGI: Predicted CORRECT, probability : 0.3346
B4JAR6_DROGR: Predicted CORRECT, probability : 0.4554
F0Y6H0_AURAN: Predicted ERROR, probability : 0.5980
G3VZE0_SARHA: Predicted CORRECT, probability : 0.1623
V9EY54_PHYPR: Predicted ERROR, probability : 0.5959
C3YN59_BRAFL: Predicted ERROR, probability : 0.6166
W2YZ86_PHYPR: Predicted ERROR, probability : 0.7342
